arbeitsort.plz;landkreis_georef;km2;einwohner;r_u_marker
Ehingen (Donau);Landkreis Alb-Donau-Kreis;1.365,44;183.722,00;r
Ehingen a. Ries;Landkreis Donau-Ries;1.273,90;128.113,00;r
Ehlenz;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Ehlscheid;Landkreis Neuwied;595,95;176.419,00;u
Ehndorf;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Ehningen;Landkreis Böblingen;616,30;364.070,00;u
Ehr;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Ehra-Lessien;Landkreis Gifhorn;1.566,89;171.648,00;r
Ehrenberg;Landkreis Hildburghausen;902,59;65.171,00;r
Ehrenberg (Rhön);Landkreis Fulda;1.379,31;216.455,00;u
Ehrenburg;Landkreis Diepholz;1.989,36;212.437,00;r
Ehrenfriedersdorf;Landkreis Erzgebirgskreis;1.887,88;371.093,00;u
Ehrenkirchen;Landkreis Breisgau-Hochschwarzwald;1.339,71;244.978,00;u
Ehrensberg;Landkreis Pfaffenhofen a.d. Ilm;773,79;117.865,00;u
Ehringshausen;Landkreis Lahn-Dill-Kreis;1.065,67;253.676,00;u
Ehweiler;Landkreis Kusel;507,89;69.094,00;r
Eibau;Landkreis Görlitz;2.117,33;270.663,00;r
Eibau-Neueibau;Landkreis Görlitz;2.117,33;270.663,00;r
Eibau-Walddorf;Landkreis Görlitz;2.117,33;270.663,00;r
Eibelstadt;Landkreis Würzburg;967,41;158.217,00;u
Eibenhof;Landkreis Rems-Murr-Kreis;788,93;399.855,00;u
Eibenstock;Landkreis Erzgebirgskreis;1.887,88;371.093,00;u
Eich;Landkreis Alzey-Worms;591,37;125.821,00;u
Eichelhardt;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Eichen;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Eichenau;Landkreis Fürstenfeldbruck;434,67;201.631,00;u
Eichenbach;Landkreis Ahrweiler;816,76;129.806,00;u
Eichenbachermühle;Landkreis Kaiserslautern;537,10;92.400,00;u
Eichenbarleben;Landkreis Börde;3.099,16;203.092,00;r
Eichenberg;Landkreis Hildburghausen;902,59;65.171,00;r
Eichenbühl;Landkreis Miltenberg;748,95;132.364,00;u
Eichendorf;Landkreis Dingolfing-Landau;878,58;90.409,00;r
Eichenzell;Landkreis Fulda;1.379,31;216.455,00;u
Eichigt;Landkreis Vogtlandkreis;1.418,85;241.143,00;u
Eichstätt;Landkreis Eichstätt;1.211,14;123.581,00;r
Eichstedt (Altmark);Landkreis Stendal;2.679,48;119.034,00;r
Eichstegen;Landkreis Ravensburg;1.630,40;270.065,00;u
Eichstetten am Kaiserstuhl;Landkreis Breisgau-Hochschwarzwald;1.339,71;244.978,00;u
Eichstruth;Landkreis Eichsfeld;942,96;102.407,00;r
Eichwalde;Landkreis Dahme-Spreewald;2.278,67;161.072,00;r
Eickelberg;Landkreis Rostock;3.367,72;219.050,00;r
Eickeloh;Landkreis Heidekreis;1.624,73;118.316,00;r
Eickendorf;Landkreis Börde;3.099,16;203.092,00;r
Eickhof;Landkreis Rostock;3.367,72;219.050,00;r
Eicklingen;Landkreis Celle;1.550,27;177.082,00;r
Eigeltingen;Landkreis Konstanz;817,23;267.010,00;u
Eigenrode;Landkreis Unstrut-Hainich-Kreis;963,55;105.530,00;r
Eilenburg;Landkreis Nordsachsen;2.030,82;201.758,00;r
Eilenstedt;Landkreis Harz;2.113,76;239.545,00;r
Eilscheid;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Eilsdorf;Landkreis Harz;2.113,76;239.545,00;r
Eilsleben;Landkreis Börde;3.099,16;203.092,00;r
Eime;Landkreis Hildesheim;1.207,70;277.924,00;u
Eimeldingen;Landkreis Lörrach;806,08;218.992,00;u
Eimen;Landkreis Holzminden;693,50;73.651,00;r
Eimke;Landkreis Uelzen;1.481,69;93.949,00;r
Eimsheim;Landkreis Mainz-Bingen;571,11;193.441,00;u
Einbeck;Landkreis Northeim;1.268,17;137.761,00;r
Eineborn;Landkreis Saale-Holzland-Kreis;729,06;78.732,00;r
Einemhof;Landkreis Harburg;1.487,02;257.782,00;u
Einhaus;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Einhausen;Landkreis Bergstraße;807,17;275.654,00;u
Einig;Landkreis Mayen-Koblenz;628,44;193.047,00;u
Einkorn;Landkreis Schwäbisch Hall;1.483,20;186.723,00;r
Einöllen;Landkreis Kusel;507,89;69.094,00;r
Einsbach;Landkreis Dachau;576,89;138.642,00;u
Einselthum;Landkreis Donnersbergkreis;705,66;80.477,00;r
Eiselfing;Landkreis Rosenheim;1.518,28;244.687,00;u
Eisenach;Kreisfreie Stadt Eisenach;103,99;41.780,00;u
Eisenbach (Hochschwarzwald);Landkreis Breisgau-Hochschwarzwald;1.339,71;244.978,00;u
Eisenberg;Landkreis Ostallgäu;1.393,01;133.904,00;r
Eisenberg (Pfalz);Landkreis Donnersbergkreis;705,66;80.477,00;r
Eisendorf;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Eisenheim;Landkreis Würzburg;967,41;158.217,00;u
Eisenhüttenstadt;Landkreis Oder-Spree;2.211,53;176.547,00;r
Eisenschmitt;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Eiserhof;Landkreis Wetteraukreis;1.099,49;292.837,00;u
Eisfeld;Landkreis Hildburghausen;902,59;65.171,00;r
Eisighofen;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Eisingen;Landkreis Enzkreis;573,07;191.389,00;u
Eislingen/Fils;Landkreis Göppingen;635,74;247.363,00;u
Eitelborn;Landkreis Westerwaldkreis;896,44;189.443,00;u
Eitensheim;Landkreis Eichstätt;1.211,14;123.581,00;r
Eiterfeld;Landkreis Fulda;1.379,31;216.455,00;u
Eitleshof;Landkreis Göppingen;635,74;247.363,00;u
Eitorf;Kreis Rhein-Sieg-Kreis;1.152,60;578.890,00;u
Eitting;Landkreis Erding;851,17;124.084,00;r
Eixen;Landkreis Vorpommern-Rügen;3.165,67;226.652,00;r
Elbe;Landkreis Wolfenbüttel;718,18;120.810,00;u
Elben;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Elbingen;Landkreis Westerwaldkreis;896,44;189.443,00;u
Elbingerode;Landkreis Göttingen;1.676,76;317.156,00;u
Elbrechting;Landkreis Mühldorf a. Inn;819,66;115.808,00;r
Elbtal;Landkreis Limburg-Weilburg;737,61;170.838,00;u
Elchesheim-Illingen;Landkreis Rastatt;740,00;222.539,00;u
Elchingen;Landkreis Neu-Ulm;571,23;180.170,00;u
Elchweiler;Landkreis Birkenfeld;825,16;87.116,00;r
Eldena;Landkreis Ludwigslust-Parchim;5.275,72;226.973,00;r
Eldenburg;Landkreis Prignitz;1.671,97;70.727,00;r
Eldetal;Landkreis Mecklenburgische Seenplatte;5.480,97;268.858,00;r
Eldingen;Landkreis Celle;1.550,27;177.082,00;r
Elend;Landkreis Harz;2.113,76;239.545,00;r
Elfershausen;Landkreis Bad Kissingen;1.140,11;104.137,00;r
Elgersburg;Landkreis Ilm-Kreis;819,46;109.562,00;r
Elisabeth-Sophien-Koog;Kreis Nordfriesland;2.129,66;166.100,00;r
Elkenroth;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Elleben;Landkreis Ilm-Kreis;819,46;109.562,00;r
Ellefeld;Landkreis Vogtlandkreis;1.418,85;241.143,00;u
Ellenberg;Landkreis Birkenfeld;825,16;87.116,00;r
Ellenhausen;Landkreis Westerwaldkreis;896,44;189.443,00;u
Ellenz-Poltersdorf;Landkreis Cochem-Zell;642,48;58.868,00;r
Ellerau;Kreis Segeberg;1.443,50;269.392,00;u
Ellerbek;Kreis Pinneberg;659,48;297.751,00;u
Ellerdorf;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Ellerhoop;Kreis Pinneberg;659,48;297.751,00;u
Ellern (Hunsrück);Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Ellerstadt;Landkreis Bad Dürkheim;661,13;147.311,00;u
Ellgau;Landkreis Augsburg;1.078,84;238.845,00;u
Ellhofen;Landkreis Heilbronn;1.094,32;323.213,00;u
Ellhöft;Kreis Nordfriesland;2.129,66;166.100,00;r
Ellingen;Landkreis Weißenburg-Gunzenhausen;973,00;92.556,00;r
Ellingshausen;Landkreis Schmalkalden-Meiningen;1.191,04;126.421,00;r
Ellingstedt;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Ellrich;Landkreis Nordhausen;712,69;87.366,00;r
Ellrichsbronn;Landkreis Ostalbkreis;1.564,10;312.218,00;u
Ellscheid;Landkreis Vulkaneifel;1.042,71;76.776,00;r
Ellwangen (Jagst);Landkreis Ostalbkreis;1.564,10;312.218,00;u
Ellweiler;Landkreis Birkenfeld;825,16;87.116,00;r
Ellzee;Landkreis Günzburg;762,17;120.355,00;u
Elmau;Landkreis Garmisch-Partenkirchen;1.012,86;84.149,00;r
Elmenhorst;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Elmenhorst/Lichtenhagen;Landkreis Rostock;3.367,72;219.050,00;r
Elmshorn;Kreis Pinneberg;659,48;297.751,00;u
Elmstein;Landkreis Bad Dürkheim;661,13;147.311,00;u
Elpersbüttel;Kreis Dithmarschen;1.314,31;127.022,00;r
Elschbacherhof;Landkreis Kaiserslautern;537,10;92.400,00;u
Elsdorf;Kreis Rhein-Erft-Kreis;704,69;451.704,00;u
Elsdorf-Westermühlen;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Elsendorf;Landkreis Kelheim;1.065,49;112.953,00;r
Elsenfeld;Landkreis Miltenberg;748,95;132.364,00;u
Elsfleth;Landkreis Wesermarsch;819,53;90.650,00;r
Elskop;Kreis Steinburg;972,59;127.718,00;r
Elsnig;Landkreis Nordsachsen;2.030,82;201.758,00;r
Elsoff (Westerwald);Landkreis Westerwaldkreis;896,44;189.443,00;u
Elsteraue;Landkreis Burgenlandkreis;1.310,85;182.743,00;r
Elsterberg;Landkreis Vogtlandkreis;1.418,85;241.143,00;u
Elsterheide;Landkreis Bautzen;2.402,14;316.006,00;r
Elstertrebnitz;Landkreis Leipzig;1.651,85;262.784,00;u
Elsterwerda;Landkreis Elbe-Elster;1.902,49;110.595,00;r
Elstra;Landkreis Bautzen;2.402,14;316.006,00;r
Elterlein;Landkreis Erzgebirgskreis;1.887,88;371.093,00;u
Eltmann;Landkreis Haßberge;964,29;84.705,00;r
Eltville am Rhein;Landkreis Rheingau-Taunus-Kreis;756,32;176.559,00;u
Elxleben;Landkreis Ilm-Kreis;819,46;109.562,00;r
Elz;Landkreis Limburg-Weilburg;737,61;170.838,00;u
Elzach;Landkreis Emmendingen;715,72;159.225,00;u
Elze;Landkreis Hildesheim;1.207,70;277.924,00;u
Elztal;Landkreis Neckar-Odenwald-Kreis;1.125,86;143.213,00;r
Elzweiler;Landkreis Kusel;507,89;69.094,00;r
Embsen;Landkreis Lüneburg;1.068,20;169.554,00;u
Embühren;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Emden;Kreisfreie Stadt Emden;111,22;49.834,00;u
Emeringen;Landkreis Alb-Donau-Kreis;1.365,44;183.722,00;r
Emerkingen;Landkreis Alb-Donau-Kreis;1.365,44;183.722,00;r
Emersacker;Landkreis Augsburg;1.078,84;238.845,00;u
Emersleben;Landkreis Harz;2.113,76;239.545,00;r
Emishalden;Landkreis Biberach;1.438,69;199.051,00;r
Emkendorf;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Emleben;Landkreis Gotha;951,39;137.259,00;r
Emlichheim;Landkreis Grafschaft Bentheim;981,65;133.979,00;r
Emmelbaum;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Emmelsbüll-Horsbüll;Kreis Nordfriesland;2.129,66;166.100,00;r
Emmelshausen;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Emmendingen;Landkreis Emmendingen;715,72;159.225,00;u
Emmendorf;Landkreis Uelzen;1.481,69;93.949,00;r
Emmerich am Rhein;Kreis Kleve;1.233,16;301.670,00;u
Emmering;Landkreis Ebersberg;566,19;135.859,00;u
Emmerthal;Landkreis Hameln-Pyrmont;796,92;150.473,00;u
Emmerting;Landkreis Altötting;556,17;97.226,00;u
Emmerzhausen;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Emmingen-Liptingen;Landkreis Tuttlingen;715,74;131.707,00;u
Empfertshausen;Landkreis Wartburgkreis;1.360,71;131.802,00;r
Empfingen;Landkreis Freudenstadt;782,23;93.971,00;r
Emsbüren;Landkreis Emsland;2.882,18;312.236,00;r
Emsdetten;Kreis Steinfurt;1.794,73;434.852,00;u
Emskirchen;Landkreis Neustadt a.d. Aisch-Bad Windsheim;1.266,89;97.730,00;r
Emstek;Landkreis Cloppenburg;1.419,64;160.115,00;r
Emtinghausen;Landkreis Verden;789,27;132.622,00;u
Emtmannsberg;Landkreis Bayreuth;1.289,34;105.722,00;r
Endingen am Kaiserstuhl;Landkreis Emmendingen;715,72;159.225,00;u
Endlichhofen;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Endorf;Landkreis Harz;2.113,76;239.545,00;r
Endschütz;Landkreis Greiz;912,16;111.451,00;r
Engden;Landkreis Grafschaft Bentheim;981,65;133.979,00;r
Engelbrechtsche Wildnis;Kreis Steinburg;972,59;127.718,00;r
Engelhof;Landkreis Esslingen;637,44;503.095,00;u
Engelsberg;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Engelsbrand;Landkreis Enzkreis;573,07;191.389,00;u
Engelschoff;Landkreis Stade;1.215,40;196.018,00;u
Engelskirchen;Kreis Oberbergischer Kreis;918,37;273.599,00;u
Engelstadt;Landkreis Mainz-Bingen;571,11;193.441,00;u
Engelthal;Landkreis Nürnberger Land;750,56;164.114,00;u
Engen;Landkreis Konstanz;817,23;267.010,00;u
Enger;Kreis Herford;450,00;251.309,00;u
Enge-Sande;Kreis Nordfriesland;2.129,66;166.100,00;r
Engstingen;Landkreis Reutlingen;1.093,24;273.540,00;u
Eningen unter Achalm;Landkreis Reutlingen;1.093,24;273.540,00;u
Enkenbach-Alsenborn;Landkreis Kaiserslautern;537,10;92.400,00;u
Enkirch;Landkreis Rhein-Hunsrück-Kreis;991,23;103.662,00;r
Enklarn;Landkreis Cham;1.528,50;126.237,00;r
Ennepetal;Kreis Ennepe-Ruhr-Kreis;408,24;326.046,00;u
Ennigerloh;Kreis Warendorf;1.318,54;274.192,00;u
Ensch;Landkreis Trier-Saarburg;1.080,07;138.442,00;r
Ensdorf;Landkreis Amberg-Sulzbach;1.255,95;104.104,00;r
Ense;Kreis Soest;1.327,65;297.431,00;u
Ensheim;Landkreis Alzey-Worms;591,37;125.821,00;u
Enspel;Landkreis Westerwaldkreis;896,44;189.443,00;u
Entrischenbrunn;Landkreis Pfaffenhofen a.d. Ilm;773,79;117.865,00;u
Enzen;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Enzklösterle;Landkreis Calw;796,74;151.273,00;u
Epenwöhrden;Kreis Dithmarschen;1.314,31;127.022,00;r
Epfach;Landkreis Landsberg am Lech;768,72;111.807,00;r
Epfenbach;Landkreis Rhein-Neckar-Kreis;972,05;509.406,00;u
Epfendorf;Landkreis Rottweil;768,90;136.717,00;u
Eppelborn;Landkreis Neunkirchen;249,56;135.730,00;u
Eppelheim;Landkreis Rhein-Neckar-Kreis;972,05;509.406,00;u
Eppelsheim;Landkreis Alzey-Worms;591,37;125.821,00;u
Eppenberg;Landkreis Cochem-Zell;642,48;58.868,00;r
Eppenbrunn;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Eppendorf;Landkreis Mittelsachsen;2.061,49;314.980,00;u
Eppenrod;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Eppenschlag;Landkreis Freyung-Grafenau;985,64;78.573,00;r
Eppertshausen;Landkreis Darmstadt-Dieburg;658,06;282.676,00;u
Eppingen;Landkreis Heilbronn;1.094,32;323.213,00;u
Eppishausen;Landkreis Unterallgäu;1.228,93;135.460,00;r
Eppstein;Landkreis Main-Taunus-Kreis;221,90;224.124,00;u
Erbach;Landkreis Alb-Donau-Kreis;1.365,44;183.722,00;r
Erbendorf;Landkreis Tirschenreuth;1.084,69;75.058,00;r
Erbenhausen;Landkreis Schmalkalden-Meiningen;1.191,04;126.421,00;r
Erbes-Büdesheim;Landkreis Alzey-Worms;591,37;125.821,00;u
Erden;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Erdesbach;Landkreis Kusel;507,89;69.094,00;r
Erdfunkstelle Usingen;Landkreis Hochtaunuskreis;481,78;226.168,00;u
Erding;Landkreis Erding;851,17;124.084,00;r
Erdmannhausen;Landkreis Ludwigsburg;690,72;510.260,00;u
Erdweg;Landkreis Dachau;576,89;138.642,00;u
Eresing;Landkreis Landsberg am Lech;768,72;111.807,00;r
Erfde;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Erfenstein;Landkreis Bad Dürkheim;661,13;147.311,00;u
Erftstadt;Kreis Rhein-Erft-Kreis;704,69;451.704,00;u
Erfurt;Kreisfreie Stadt Erfurt;269,56;200.963,00;u
Erfweiler;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Ergersheim;Landkreis Neustadt a.d. Aisch-Bad Windsheim;1.266,89;97.730,00;r
Ergeshausen;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Ergolding;Kreisfreie Stadt Landshut;65,72;48.332,00;u
Ergoldsbach;Landkreis Landshut;1.348,42;162.933,00;r
Erharting;Landkreis Mühldorf a. Inn;819,66;115.808,00;r
Ering;Landkreis Rottal-Inn;1.282,57;117.440,00;r
Eriskirch;Landkreis Bodenseekreis;664,29;204.163,00;u
Erkelenz;Kreis Heinsberg;628,03;248.504,00;u
Erkelshäuserhof;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Erkenbrechtsweiler;Landkreis Esslingen;637,44;503.095,00;u
Erkerode;Landkreis Wolfenbüttel;718,18;120.810,00;u
Erkheim;Landkreis Unterallgäu;1.228,93;135.460,00;r
Erkner;Landkreis Oder-Spree;2.211,53;176.547,00;r
Erkrath;Kreis Mettmann;408,47;485.196,00;u
Erlabrunn;Landkreis Würzburg;967,41;158.217,00;u
Erlachskirchen;Landkreis Neustadt a.d. Aisch-Bad Windsheim;1.266,89;97.730,00;r
Erlangen;Kreisfreie Stadt Erlangen;78,51;106.889,00;u
Erlau;Landkreis Mittelsachsen;2.061,49;314.980,00;u
Erlbach;Landkreis Altötting;556,17;97.226,00;u
Erlenbach;Landkreis Heilbronn;1.094,32;323.213,00;u
Erlenbach a. Main;Landkreis Miltenberg;748,95;132.364,00;u
Erlenbach b. Marktheidenfeld;Landkreis Main-Spessart;1.325,96;125.841,00;r
Erlenbach bei Dahn;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Erlenbach bei Kandel;Landkreis Germersheim;450,37;121.357,00;u
Erlenbacher Forsthaus;Landkreis Bad Dürkheim;661,13;147.311,00;u
Erlenborn;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Erlenfurt;Landkreis Aschaffenburg;692,82;174.706,00;u
Erlenhof;Landkreis Esslingen;637,44;503.095,00;u
Erlenmoos;Landkreis Biberach;1.438,69;199.051,00;r
Erlenmühle;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Erlensee;Landkreis Main-Kinzig-Kreis;1.396,03;401.095,00;u
Erlenwasen;Landkreis Göppingen;635,74;247.363,00;u
Erligheim;Landkreis Ludwigsburg;690,72;510.260,00;u
Ermershausen;Landkreis Haßberge;964,29;84.705,00;r
Ermke;Landkreis Cloppenburg;1.419,64;160.115,00;r
Ermsleben;Landkreis Harz;2.113,76;239.545,00;r
Erndtebrück;Kreis Siegen-Wittgenstein;1.136,59;277.233,00;u
Ernsgaden;Landkreis Pfaffenhofen a.d. Ilm;773,79;117.865,00;u
Ernst;Landkreis Cochem-Zell;642,48;58.868,00;r
Ernzen;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Erolzheim;Landkreis Biberach;1.438,69;199.051,00;r
Erpel;Landkreis Neuwied;595,95;176.419,00;u
Erpolzheim;Landkreis Bad Dürkheim;661,13;147.311,00;u
Ersfeld;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Ertingen;Landkreis Biberach;1.438,69;199.051,00;r
Erwitte;Kreis Soest;1.327,65;297.431,00;u
Erxleben;Landkreis Börde;3.099,16;203.092,00;r
Erzenhausen;Landkreis Kaiserslautern;537,10;92.400,00;u
Erzhausen;Landkreis Darmstadt-Dieburg;658,06;282.676,00;u
Esch;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Eschach;Landkreis Ostalbkreis;1.564,10;312.218,00;u
Eschau;Landkreis Miltenberg;748,95;132.364,00;u
Eschbach;Landkreis Breisgau-Hochschwarzwald;1.339,71;244.978,00;u
Eschborn;Landkreis Main-Taunus-Kreis;221,90;224.124,00;u
Eschbronn;Landkreis Rottweil;768,90;136.717,00;u
Esche;Landkreis Grafschaft Bentheim;981,65;133.979,00;r
Escheburg;Kreisfreie Stadt Hamburg;802,25;1.726.063,00;u
Eschede;Landkreis Celle;1.550,27;177.082,00;r
Eschelbronn;Landkreis Rhein-Neckar-Kreis;972,05;509.406,00;u
Eschenbach;Landkreis Göppingen;635,74;247.363,00;u
Eschenbach i.d.OPf.;Landkreis Neustadt a.d. Waldnaab;1.509,77;138.940,00;r
Eschenbergen;Landkreis Gotha;951,39;137.259,00;r
Eschenburg;Landkreis Lahn-Dill-Kreis;1.065,67;253.676,00;u
Eschenlohe;Landkreis Garmisch-Partenkirchen;1.012,86;84.149,00;r
Eschenrode;Landkreis Börde;3.099,16;203.092,00;r
Eschershausen;Landkreis Holzminden;693,50;73.651,00;r
Eschfeld;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Eschlkam;Landkreis Cham;1.528,50;126.237,00;r
Eschwege;Landkreis Werra-Meißner-Kreis;1.024,64;102.436,00;r
Eschweiler;Kreis Städteregion Aachen;707,06;539.546,00;u
Eselhöfe;Landkreis Göppingen;635,74;247.363,00;u
Esens;Landkreis Wittmund;661,98;57.286,00;r
Esgrus;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Eslarn;Landkreis Neustadt a.d. Waldnaab;1.509,77;138.940,00;r
Eslingholz;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Eslohe (Sauerland);Kreis Hochsauerlandkreis;1.893,60;262.371,00;r
Espelkamp;Kreis Minden-Lübbecke;1.153,16;313.342,00;u
Espenau;Landkreis Kassel;1.290,55;235.145,00;u
Eßbach;Landkreis Saale-Orla-Kreis;1.146,29;85.837,00;r
Essel;Landkreis Heidekreis;1.624,73;118.316,00;r
Esselbach;Landkreis Main-Spessart;1.325,96;125.841,00;r
Esselborn;Landkreis Alzey-Worms;591,37;125.821,00;u
Essen;Kreisfreie Stadt Essen;210,31;566.458,00;u
Essen (Oldenburg);Landkreis Cloppenburg;1.419,64;160.115,00;r
Essenbach;Landkreis Landshut;1.348,42;162.933,00;r
Essenheim;Landkreis Mainz-Bingen;571,11;193.441,00;u
Essing;Landkreis Kelheim;1.065,49;112.953,00;r
Essingen;Landkreis Ostalbkreis;1.564,10;312.218,00;u
Eßlingen;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Esslingen am Neckar;Landkreis Esslingen;637,44;503.095,00;u
Eßweiler;Landkreis Kusel;507,89;69.094,00;r
Estenfeld;Landkreis Würzburg;967,41;158.217,00;u
Esterwegen;Landkreis Emsland;2.882,18;312.236,00;r
Esthal;Landkreis Bad Dürkheim;661,13;147.311,00;u
Estorf;Landkreis Nienburg (Weser);1.399,84;122.881,00;r
Etgert;Landkreis Bernkastel-Wittlich;1.090,26;112.068,00;r
Etingen;Landkreis Börde;3.099,16;203.092,00;r
Etschberg;Landkreis Kusel;507,89;69.094,00;r
Ettal;Landkreis Garmisch-Partenkirchen;1.012,86;84.149,00;r
Etteldorf;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Ettenheim;Landkreis Ortenaukreis;1.944,82;432.903,00;u
Ettenstatt;Landkreis Weißenburg-Gunzenhausen;973,00;92.556,00;r
Ettersburg;Landkreis Weimarer Land;813,31;87.083,00;r
Ettinghausen;Landkreis Westerwaldkreis;896,44;189.443,00;u
Ettlingen;Landkreis Karlsruhe;1.083,67;424.211,00;u
Ettringen;Landkreis Unterallgäu;1.228,93;135.460,00;r
Etzbach;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Etzelwang;Landkreis Amberg-Sulzbach;1.255,95;104.104,00;r
Etzenbachermühle;Landkreis Südwestpfalz;1.035,97;109.828,00;r
Etzenricht;Landkreis Neustadt a.d. Waldnaab;1.509,77;138.940,00;r
Etzleben;Landkreis Kyffhäuserkreis;1.037,58;80.236,00;r
Euerbach;Landkreis Schweinfurt;832,66;113.230,00;r
Euerdorf;Landkreis Bad Kissingen;1.140,11;104.137,00;r
Eulenberg;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Eulenbis;Landkreis Kaiserslautern;537,10;92.400,00;u
Eulenhof;Landkreis Rems-Murr-Kreis;788,93;399.855,00;u
Eulenkrug;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Eulenmühle;Landkreis Schwäbisch Hall;1.483,20;186.723,00;r
Eulgem;Landkreis Cochem-Zell;642,48;58.868,00;r
Eurasburg;Landkreis Aichach-Friedberg;779,72;126.556,00;u
Euscheid;Landkreis Eifelkreis Bitburg-Prüm;1.732,70;99.234,00;r
Euskirchen;Kreis Euskirchen;1.248,58;188.288,00;u
Eußenheim;Landkreis Main-Spessart;1.325,96;125.841,00;r
Eußerthal;Landkreis Südliche Weinstraße;667,05;109.962,00;u
Euteneuen;Landkreis Altenkirchen (Westerwald);774,66;148.052,00;u
Eutin;Kreis Ostholstein;1.325,41;188.322,00;r
Eutingen im Gäu;Landkreis Freudenstadt;782,23;93.971,00;r
Everingen;Landkreis Börde;3.099,16;203.092,00;r
Evershorst;Landkreis Diepholz;1.989,36;212.437,00;r
Eversmeer;Landkreis Wittmund;661,98;57.286,00;r
Everstorf;Landkreis Nordwestmecklenburg;2.122,63;157.264,00;r
Everswinkel;Kreis Warendorf;1.318,54;274.192,00;u
Evessen;Landkreis Wolfenbüttel;718,18;120.810,00;u
Ewighausen;Landkreis Westerwaldkreis;896,44;189.443,00;u
Extertal;Kreis Lippe;1.245,05;349.348,00;u
Eydelstedt;Landkreis Diepholz;1.989,36;212.437,00;r
Eyendorf;Landkreis Harburg;1.487,02;257.782,00;u
Eystrup;Landkreis Nienburg (Weser);1.399,84;122.881,00;r
Fach;Landkreis Ostalbkreis;1.564,10;312.218,00;u
Fachbach;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Fachingen;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Fahrdorf;Kreis Schleswig-Flensburg;1.999,27;221.013,00;r
Fahren;Kreis Plön;1.155,28;145.095,00;r
Fahrenbach;Landkreis Neckar-Odenwald-Kreis;1.125,86;143.213,00;r
Fahrendorf;Kreisfreie Stadt Hamburg;802,25;1.726.063,00;u
Fahrenhorst;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Fahrenkrug;Kreis Segeberg;1.443,50;269.392,00;u
Fahrenwalde;Landkreis Vorpommern-Greifswald;3.987,01;245.914,00;r
Fahrenzhausen;Landkreis Freising;796,78;161.475,00;u
Fahrnpoint;Landkreis Traunstein;1.457,39;168.951,00;r
Faid;Landkreis Cochem-Zell;642,48;58.868,00;r
