arbeitsort.plz;landkreis_georef;km2;einwohner;r_u_marker
Aidlingen;Landkreis Böblingen;616,30;364.070,00;u
Aiglsbach;Landkreis Kelheim;1.065,49;112.953,00;r
Ailertchen;Landkreis Westerwaldkreis;896,44;189.443,00;u
Aindling;Landkreis Aichach-Friedberg;779,72;126.556,00;u
Ainring;Landkreis Berchtesgadener Land;840,67;100.988,00;r
Aislingen;Landkreis Dillingen a.d. Donau;791,86;93.455,00;r
Aiterhofen;Landkreis Straubing-Bogen;1.202,52;96.269,00;r
Aitern;Landkreis Lörrach;806,08;218.992,00;u
Aiteröd;Landkreis Landshut;1.348,42;162.933,00;r
Aitrach;Landkreis Ravensburg;1.630,40;270.065,00;u
Aitrang;Landkreis Ostallgäu;1.393,01;133.904,00;r
Aken (Elbe);Landkreis Anhalt-Bitterfeld;1.029,81;163.437,00;u
Albaching;Landkreis Rosenheim;1.518,28;244.687,00;u
Albbruck;Landkreis Waldshut;1.130,54;163.394,00;r
Albersdorf;Kreis Rendsburg-Eckernförde;2.256,69;283.927,00;r
Albershausen;Landkreis Göppingen;635,74;247.363,00;u
Albersweiler;Landkreis Südliche Weinstraße;667,05;109.962,00;u
Albertinenhof;Landkreis Ostprignitz-Ruppin;2.287,92;92.128,00;r
Albertshofen;Landkreis Kitzingen;683,60;87.849,00;r
Albessen;Landkreis Kusel;507,89;69.094,00;r
Albig;Landkreis Alzey-Worms;591,37;125.821,00;u
Albisheim (Pfrimm);Landkreis Donnersbergkreis;705,66;80.477,00;r
Albsfelde;Kreis Herzogtum Lauenburg;1.110,71;190.763,00;u
Albstadt;Landkreis Zollernalbkreis;916,81;185.793,00;u
Aldenhoven;Kreis Düren;941,35;259.023,00;u
Aldersbach;Landkreis Passau;1.532,86;184.986,00;r
Aldingen;Landkreis Tuttlingen;715,74;131.707,00;u
Alerheim;Landkreis Donau-Ries;1.273,90;128.113,00;r
Alesheim;Landkreis Weißenburg-Gunzenhausen;973,00;92.556,00;r
Aletshausen;Landkreis Günzburg;762,17;120.355,00;u
Alf;Landkreis Cochem-Zell;642,48;58.868,00;r
Alfdorf;Landkreis Ostalbkreis;1.564,10;312.218,00;u
Alfeld;Landkreis Nürnberger Land;750,56;164.114,00;u
Alfeld (Leine);Landkreis Hildesheim;1.207,70;277.924,00;u
Alfhausen;Landkreis Osnabrück;2.118,81;351.437,00;u
Alflen;Landkreis Cochem-Zell;642,48;58.868,00;r
Alfstedt;Landkreis Rotenburg (Wümme);2.148,82;172.747,00;r
Alfter;Kreis Rhein-Sieg-Kreis;1.152,60;578.890,00;u
Algermissen;Landkreis Hildesheim;1.207,70;277.924,00;u
Algertshausen;Landkreis Landsberg am Lech;768,72;111.807,00;r
Algesbüttel;Landkreis Gifhorn;1.566,89;171.648,00;r
Algishofen;Landkreis Ostalbkreis;1.564,10;312.218,00;u
Alheim;Landkreis Hersfeld-Rotenburg;1.096,37;120.869,00;r
Alken;Landkreis Mayen-Koblenz;628,44;193.047,00;u
Alkersleben;Landkreis Ilm-Kreis;819,46;109.562,00;r
Alkersum;Kreis Nordfriesland;2.129,66;166.100,00;r
Allenbach;Landkreis Birkenfeld;825,16;87.116,00;r
Allendorf;Landkreis Rhein-Lahn-Kreis;826,60;125.539,00;u
Allendorf (Eder);Landkreis Waldeck-Frankenberg;1.908,06;163.742,00;r
